State,Band Name,Date
"Mercury Lounge | New York, NY",Nico Vega,TODAY 6:00 PM
"Bowery Ballroom | New York, NY",Dry Cleaning,TODAY 7:00 PM
"Jimmy's Jazz and Blues Club | Portsmouth, NH",Being Petty - Monday Night Local Artist Series,TODAY 7:00 PM
"Paradise Rock Club presented by Citizens | Boston, MA",Unwound (18+),TODAY 7:00 PM
"The Foundry | Philadelphia, PA",Between You and Me,TODAY 7:00 PM
"The Loft | Atlanta, GA",Autoheart,TODAY 7:00 PM
"Voodoo Room at the House of Blues San Diego | San Diego, CA",Daisy the Great,TODAY 7:00 PM
"The Moroccan Lounge | Los Angeles, CA","Our Jam w/ PrettyUgly, Tippy Balady, and Hailey Wild",TODAY 7:30 PM
"The Fillmore | San Francisco, CA",KMFDM,TODAY 8:00 PM
"The Regent Theater | Los Angeles, CA",Oops..Alaska Did It Again!,TODAY 8:00 PM
"The Atlantis | Washington, DC",The Rural Alberta Advantage,TOMORROW
"Spirit Hall | Pittsburgh, PA",The Armed,TOMORROW
"Empire Live | Albany, NY",The 69 Eyes,TOMORROW
"Brighton Music Hall presented by Citizens | Boston, MA",Live Nation Presents Surfer Girl,TOMORROW
"The Vogel at Count Basie Center for the Arts | Red Bank, NJ",Rick Wakeman,TOMORROW
"Théâtre Beanfield | Montreal, QC",Arlo Parks - My Soft Machine North American Tour,TOMORROW
"Reggie's Rock Club | Chicago, IL","Darkest Hour, I Am, Filth Is Eternal, Somnuri",TOMORROW
"The Brooklyn Arts Center | Wilmington, NC",The Steel Wheels,TOMORROW
"Hackensack Meridian Health Theatre at the Count Basie Center | Red Bank, NJ",Guster: We Also Have Eras,TOMORROW
"State Theatre | Portland, ME",Jeff Rosenstock,TOMORROW
"Music Farm | Charleston, SC",Turnover,TOMORROW
"Brooklyn Bowl Nashville | Nashville, TN",Bob Dylan,TOMORROW
"Mercury Lounge | New York, NY",Ax and the Hatchetmen,TOMORROW
"Black Sheep | Colorado Springs, CO","Teenage Bottlerocket, Authority Zero, Nobodys, the Sleights",TOMORROW
"SOMA - Mainstage | San Diego, CA",Bryce Vine: The Saturday Night Tour,TOMORROW
"Hollywood Pantages Theatre | Los Angeles, CA",Dancing with the Stars,TOMORROW
"Bogart's | Cincinnati, OH",Mom Jeans,WED MAR 27
"PPG Paints Arena | Pittsburgh, PA",Fall Out Boy - So Much For (2our) Dust,WED MAR 27
"The Garrison | Toronto, ON","Teen Mortgage with Death Lens, Black Budget",WED MAR 27
"OLG Stage at Fallsview Casino | Niagara Falls, ON",Breaking Benjamin,WED MAR 27
"Empire Underground | Albany, NY",Origami Angel,WED MAR 27
"9:30 CLUB | Washington, DC",GROUPLOVE: Rock And Roll You Won't Save Me Tour,WED MAR 27
"Birchmere | Alexandria, VA",The Zombies,WED MAR 27
"Jimmy's Jazz and Blues Club | Portsmouth, NH",Johnny A. Trio,WED MAR 27
"The Funhouse at Mr. Smalls | Millvale, PA",Ducks Ltd,WED MAR 27
"White Oak Music Hall - Upstairs | Houston, TX",Bayonne with Flavor Hour,WED MAR 27
"The Underground | Charlotte, NC",Otoboke Beaver,WED MAR 27
"Garcia's at The Capitol Theatre | Port Chester, NY",Sarah Elaz's Almost Phish,WED MAR 27
"Lexington Opera House | Lexington, KY",Colin Hay,WED MAR 27
"The Cambridge Room at House Of Blues | Dallas, TX",The Snuts - Millennials Tour,WED MAR 27
"The Vogue | Indianapolis, IN",The Glorious Sons x Southall,WED MAR 27
